a	Một
acrocentric	hướng tâm
acrocephalus	não to
acroclinium	acroclinium
acrocomia	chứng to đầu chi
acrocyanosis	chứng tím tái
acrodont	chó săn
acrogen	acrogen
acrogenic	acrogen
acromatic	acromatic
acromegalic	bệnh to cực
acromegaly	To đầu chi
acromicria	acromicria
acromion	acromion
acromphalus	đầu chi
acromyotonia	acromyotonia
acronym	từ viết tắt
acronymic	từ viết tắt
acropetal	acropetal
acrophobia	sợ độ cao
acrophobic	kỵ khí
acropolis	thủ đô
acropora	acropora
acrosome	acrosome
acrospire	leo trèo
across	sang
across-the-board	mọi mặt
acrostic	chữ thập
acrostichum	acrostihum
acrylic	acrylic
act	hành động
acta	hành động
actable	có thể hành động
actaea	hành động
acted	hành động
acti	hành động
actias	hành động
actifed	kích hoạt
actin	hành tây
actinal	hành động
acting	diễn xuất
actinia	cây xạ đen
actiniaria	xạ tím
actinic	tím
actinidia	xạ khuẩn
actinidiaceae	họ xạ khuẩn
actiniopteris	xạ khuẩn
actinism	chủ nghĩa hành động
actinium	actini
actinoid	xạ khuẩn
actinolite	actinolit
actinomeris	xạ khuẩn
actinometer	máy đo tốc độ
actinometric	đo quang học
actinometry	phép đo quang điện
actinomorphic	xạ khuẩn
actinomyces	xạ khuẩn
actinomycetacaea	xạ khuẩn
actinomycetal	xạ khuẩn
actinomycetales	xạ khuẩn
actinomycete	xạ khuẩn
actinomycin	xạ khuẩn
actinomycosis	xạ khuẩn
actinomycotic	xạ khuẩn
actinomyxidia	xạ khuẩn
actinomyxidian	xạ khuẩn
actinopod	xạ khuẩn
actinopoda	xạ khuẩn
action	hoạt động
actionable	có thể hành động
actions	hành động
actitis	viêm da
actium	acti
activated	kích hoạt
activation	kích hoạt
activator	người kích hoạt
active	tích cực
actively	tích cực
activeness	tính chủ động
activism	chủ nghĩa tích cực
activist	nhà hoạt động
activity	hoạt động
actomyosin	actomyosin
actor	diễn viên
actress	nữ diễn viên
acts	hành vi
actu	hành động
actual	thật sự
actuality	thực tế
actualized	hiện thực hóa
actually	Thực ra
actuarial	chuyên gia thống kê
actuary	chuyên gia tính toán
actuateact	truyền động
actuated	kích hoạt
actuator	bộ truyền động
actum	hành động
actus	hành động
acu	acu
acuate	sắc sảo
acuity	sự nhạy bén
aculea	acula
aculeate	aculeate
aculeated	acuated
aculeus	aculeus
acumen	sự nhạy bén
acuminate	thông minh
acuminated	gay gắt
acumination	sự nhạy bén
acun	acun
acupressure	bấm huyệt
acupuncture	châm cứu
acute	nhọn
acutely	sâu sắc
acuteness	sự sắc bén
acyclic	không tuần hoàn
acyclovir	acyclovir
ad	quảng cáo
ad-lib	lib quảng cáo
adactylia	adactylia
adactylism	chủ nghĩa thích nghi
adactylous	tính cách cục mịch
adad	thêm vào
adaga	adaga
adage	ngạn ngữ
adagio	adagio
adalia	adalia
adam	adam
adamance	kiên quyết
adamant	kiên quyết
adamantean	kim cương cứng
adamantine	kim cương cứng
adamantly	cương quyết
adams	adams
adansonia	adansonia
adapa	adapa
adapid	thích nghi
adapt	thích nghi
adaptability	khả năng thích ứng
adaptable	dễ thích nghi
adaptation	thích nghi
adaptational	thích nghi
adapted	thích nghi
adapter	bộ chuyển đổi
adaption	thích nghi
adaptive	thích nghi
adar	adar
adaxial	trục phụ
add	thêm vào
addable	có thể thêm vào
addax	addax
adde	thêm vào
added	thêm
addend	thêm vào
addendum	phụ lục
adder	máy cộng
addere	thêm vào
addesse	phụ nữ
addict	con nghiện
addicted	nghiện
addiction	nghiện
addictive	gây nghiện
adding	thêm
addison	người nghiện rượu
additament	bổ sung
addition	phép cộng
additional	thêm vào
additionally	Ngoài ra
additive	phụ gia
additum	phụ gia
addle	ung hư
addle-head	đầu bù tóc rối
addlebrained	đầu óc rối bời
addled	nghiện
addlehead	người đần độn
addlepated	phụ trợ
address	Địa chỉ
addressable	địa chỉ
addressed	giải quyết
addressee	người nhận
addresses	địa chỉ
adduce	viện dẫn
adducent	bổ sung
adducing	thêm vào
adduction	nghiện
adductive	gây nghiện
adductor	chất phụ gia
ade	lời khen ngợi
adeem	adeem
adel	adel
adelaide	adelaide
adelges	adelges
adelgid	adelgid
adelgidae	adelgidae
adelie	adelie
adelig	quảng cáo
adelomorphous	dị hình
ademption	thu nhận
ademptum	chứng nhận
aden	aden
adenanthera	adenanthera
adenine	adenin
adenitis	viêm hạch
adenium	adenium
adenocarcinoma	ung thư biểu mô tuyến
adenocarcinomatous	ung thư biểu mô tuyến
adenography	adenography
adenoid	adenoid
adenoidal	adenoidal
adenoidectomy	cắt vòm họng
adenoma	u tuyến
adenomegaly	u tuyến to
adenopathy	bệnh hạch
adenosine	adenosine
adenota	adenota
adenovirus	adenovirus
adeo	adeo
adeology	tôn giáo
adept	lão luyện
adeptness	sự lão luyện
adequacy	đầy đủ
adequate	đủ
adequately	đầy đủ
adespotic	chuyên quyền
adhere	tuân thủ
adherence	tuân thủ
adherent	tuân thủ
adhering	tuân thủ
adhesion	độ bám dính
adhesive	dính
adhesiveness	độ kết dính
adhibenda	adhibenda
adhibit	tuân thủ
adhibition	sự ràng buộc
adhortation	lời khuyên
adiabatic	đoạn nhiệt
adiantaceae	adiantaceae
adiantum	adiantum
adiaphanous	sáng sủa
adiathermancy	nhiệt kế
adience	kiên nhẫn
adient	người quen
adieu	tạm biệt
adige	câu ngạn ngữ
adipocere	mỡ
adipose	mỡ
adiposity	béo phì
adirondacks	adirondacks
adit	chỉnh sửa
aditi	quảng cáo
aditya	quảng cáo
adj	tính từ
adjacency	kề cận
adjacent	liền kề
adjection	tính từ
adjectitious	tính từ
adjectival	tính từ
adjectivally	tính từ
adjective	tính từ
adjectively	tính từ
adjectives	tính từ
adjoin	liền kề
adjoining	liền kề
adjourn	hoãn lại
adjournment	hoãn lại
adjuc	điều chỉnh
adjudge	phân xử
adjudicate	phân xử
adjudication	xét xử
adjudicative	adjudicative
adjudicator	người phân xử
adjunct	phụ trợ
adjunctive	bổ trợ
adjuration	van lơn
adjuratory	xét xử
adjure	điều chỉnh
adjust	điều chỉnh
adjustable	có thể điều chỉnh
adjusted	điều chỉnh
adjuster	điều chỉnh
adjustive	điều chỉnh
adjustment	điều chỉnh
adjutage	phụ tá
adjutant	phụ tá
adjuvant	tá dược
adjuvat	tá dược
adlumia	sự mê muội
admass	quản gia
admeasurement	phép đo
administer	quản lý
administrable	quản lý được
administration	sự quản lý
administrative	hành chính
administratively	về mặt hành chính
administrator	người quản lý
administrators	quản trị viên
admirability	sự ngưỡng mộ
admirable	đáng khâm phục
admirably	đáng khâm phục
admiral	đô đốc
admiralty	đô đốc
admirari	ngưỡng mộ
admiration	sự khâm phục
admire	ngưỡng mộ
admired	ngưỡng mộ
admirer	người ngưỡng mộ
admiring	ngưỡng mộ
admiringly	một cách ngưỡng mộ
admissable	chấp nhận được
admissibility	khả năng chấp nhận
admissible	chấp nhận được
admission	nhận vào
admissive	thừa nhận
admit	thừa nhận
admittable	có thể chấp nhận được
admittance	nhập học
admitted	thừa nhận
admitting	thừa nhận
admixture	phụ gia
admlration	sự quản lý
admonish	khuyên nhủ
admonished	khuyên nhủ
admonisher	người khuyên bảo
admonition	lời khuyên
admonitive	răn đe
admonitory	khiển trách
adnate	công phu
adnexa	phần phụ
adnexal	phần phụ
adnoun	danh từ
ado	tạm biệt
adobe	adobe
adobo	adobo
adolescence	thời niên thiếu
adolescent	thanh niên
adonic	adonic
adonis	adonis
adonize	adonize
adopt	nhận nuôi
adoptable	chấp nhận được
adopted	con nuôi
adoption	nhận con nuôi
adoptive	con nuôi
adorability	sự đáng yêu
adorable	đáng yêu
adorably	đáng yêu
adoration	Yêu mến
adore	yêu thích
adored	ngưỡng mộ
adorer	người hâm mộ
adoring	ngưỡng mộ
adoringly	một cách trìu mến
adorn	tô điểm
adorned	tô điểm
adornment	đồ trang sức
adown	suy sụp
adrenal	tuyến thượng thận
adrenalectomy	cắt tuyến thượng thận
adrenaline	adrenaline
adrenarche	tuyến thượng thận
adrenergic	adrenergic
adrenocortical	vỏ thượng thận
adrenocorticotropic	vỏ thượng thận
adrenosterone	adrenosterone
adrenotrophin	adrenotrophin
adriatic	adriatic
adrift	trôi giạt
adroit	khéo léo
adroitly	khéo léo
adroitness	sự khéo léo
adrolepsy	chứng ngủ rũ
adscititious	quảng cáo
adscript	quảng cáo
adscriptus	mô tả
adsorbable	có thể hấp phụ
adsorbate	chất bị hấp phụ
adsorbed	bị hấp phụ
adsorbent	chất hấp phụ
adsorption	hấp phụ
adulation	sự nịnh nọt
adulator	kẻ giả mạo
adulatory	ngoại tình
adullam	adullam
adult	người lớn
adulterant	ngoại tình
adulterate	ngoại tình
adulterated	tạp nhiễm
adulterating	ngoại tình
adulteration	ngoại tình
adulterer	ngoại tình
adulteress	ngoại tình
adulterine	ngoại tình
adulterous	ngoại tình
adulterously	ngoại tình
adultery	ngoại tình
adulthood	trưởng thành
adultism	chủ nghĩa trưởng thành
adultness	trưởng thành
adultress	gái ngoại tình
adumbrate	cứng nhắc
adumbration	sự trang trí
adumbrative	mang tính tượng trưng
aduncated	cắt ngắn
aduncity	sự nhanh nhẹn
aduncous	quá đáng
adust	bụi bặm
adustion	sự nịnh hót
adv	quảng cáo
advance	nâng cao
advanced	trình độ cao
advancement	thăng tiến
advances	những tiến bộ
advancing	thăng tiến
advantage	lợi thế
advantaged	thuận lợi
advantageous	thuận lợi
advection	tiến lên
advective	tiên liệu
advene	báo trước
advent	sự ra đời
adventism	chủ nghĩa phiêu lưu
adventist	người theo chủ nghĩa phiêu lưu
adventitial	ngẫu nhiên
adventitious	ngẫu nhiên
adventive	mạo hiểm
adventure	cuộc phiêu lưu
adventurer	nhà thám hiểm
adventures	cuộc phiêu lưu
adventuress	adventuress
adventurism	chủ nghĩa phiêu lưu
adventuristic	phiêu lưu mạo hiểm
adventurous	phiêu lưu
adventurousness	sự mạo hiểm
adverb	trạng từ
adverbial	phó từ
adverbially	cách xưng hô
adverbs	Phó từ
adversaria	địch thủ
adversary	đối thủ
adversarys	đối thủ
adversative	địch thủ
adverse	bất lợi
adversely	bất lợi
adversis	nghịch cảnh
adversity	nghịch cảnh
adversitys	nghịch cảnh
adversum	nghịch cảnh
advert	Quảng cáo
advertence	quảng cáo
advertency	dự báo
advertent	quảng cáo
advertise	Quảng cáo
advertised	quảng cáo
advertisement	quảng cáo
advertiser	nhà quảng cáo
advertising	quảng cáo
advice	khuyên bảo
advisability	khả năng tư vấn
advisable	có thể khuyên bảo
advise	khuyên nhủ
